NAME	CLUSTER	SUB-CLUSTER
LS-15013_S26_E1-50	Vip	Vip Chat_2
LS-15013_S27_E1-50	Vip	Vip Lect1
LS-15013_S28_E1-50	Vip 	Vip Cd34_1
LS-15013_S29_E1-50	Vip	Vip Chat_2
LS-15013_S30_E1-50	Vip	Vip Lect1
LS-15013_S31_E1-50	Vip	Vip Chat_4
LS-15013_S32_E1-50	Vip	Vip Mybpc1_1
LS-15013_S33_E1-50	Vip	Vip Chat_2
LS-15013_S34_E1-50	Vip	Vip Chat_1
LS-15013_S35_E1-50	Vip	Vip Mybpc1_1
LS-15013_S36_E1-50	Vip	Vip Sfrp2 1
LS-15013_S37_E1-50	Vip	Vip Lect1
LS-15013_S38_E1-50	Vip	Vip Chat_4
LS-15013_S39_E1-50	Vip	Vip Krt12
LS-15013_S40_E1-50	Vip	Vip Krt12
LS-15013_S41_E1-50	Vip	Vip Chat_4
LS-15013_S42_E1-50	Vip	Vip Sfrp2 1
LS-15013_S43_E1-50	Vip Sncg	Vip Sncg_2
LS-15013_S44_E1-50	Vip	Vip Lect1
LS-15013_S46_E1-50	Vip	Vip Chat_1
LS-15013_S47_E1-50	Vip	Vip Chat_3
LS-15013_S48_E1-50	Vip	Vip Sfrp2 1
LS-15013_S49_E1-50	Vip Sncg	Vip Sncg_2
LS-15013_S50_E1-50	Vip	Vip Mybpc1_1
LS-15013_S51_E1-50	Vip	Vip Chat_3
LS-15013_S52_E1-50	Vip	Vip Lect1
LS-15013_S53_E1-50	Vip	Vip Sfrp2 1
LS-15013_S54_E1-50	Vip 	Vip Cd34_1
LS-15013_S55_E1-50	Vip	Vip Mybpc1_1
LS-15013_S56_E1-50	Vip	Vip Mybpc1_1
LS-15013_S57_E1-50	Vip	Vip Krt12
LS-15013_S58_E1-50	Vip	Vip Sfrp2 1
LS-15013_S59_E1-50	Vip	Vip Chat_1
LS-15013_S60_E1-50	Vip	Vip Chat_2
LS-15013_S61_E1-50	Vip Sncg	Vip Sncg_2
LS-15013_S62_E1-50	Vip	Vip Sfrp2 2
LS-15013_S63_E1-50	Vip	Vip Chat_2
LS-15013_S64_E1-50	Vip	Vip Sfrp2 1
LS-15013_S65_E1-50	Vip	Vip Sfrp2 2
LS-15013_S66_E1-50	Vip	Vip Gpc3 2
LS-15013_S67_E1-50	Vip	Vip Sfrp2 2
LS-15013_S68_E1-50	Vip	Vip Sfrp2 2
LS-15013_S69_E1-50	Vip	Vip Krt12
LS-15013_S70_E1-50	Vip	Vip Sfrp2 2
LS-15013_S71_E1-50	Vip	Vip Gpc3 2
LS-15013_S72_E1-50	Vip	Vip Sfrp2 2
LS-15013_S81_E1-50	Vip	Vip Mybpc1_2
LS-15013_S82_E1-50	Vip	Vip Lect1
LS-15013_S83_E1-50	Vip	Vip Chat_2
LS-15013_S84_E1-50	Vip	Vip Gpc3 3
LS-15013_S85_E1-50	Vip	Vip Sfrp2 1
LS-15013_S86_E1-50	Vip 	Vip Cd34_1
LS-15013_S87_E1-50	Vip	Vip Krt12
LS-15013_S88_E1-50	Vip	Vip Gpc3 3
LS-15013_S90_E1-50	L6a_Foxp2	L6a Col12a1_1
LS-15013_S94_E1-50	L6a_Foxp2	L6a ALM Foxp2 
LS-15013_S95_E1-50	L6a_Foxp2	L6a ALM Foxp2 
LS-15014_S01_E1-50	Sst	Sst Myh8_4
LS-15014_S02_E1-50	Sst	Sst Crygs_2
LS-15014_S03_E1-50	Sst	Sst Crygs_3
LS-15014_S04_E1-50	Sst	Sst C1ql3
LS-15014_S05_E1-50	Sst	Sst Myh8_2
LS-15014_S06_E1-50	Sst	Sst Crygs_1
LS-15014_S07_E1-50	Sst	Sst Myh8_3
LS-15014_S08_E1-50	Sst	Sst Th
LS-15014_S09_E1-50	Sst	Sst Crygs_2
LS-15014_S10_E1-50	Sst	Sst Myh8_3
LS-15014_S11_E1-50	Sst	Sst Myh8_4
LS-15014_S12_E1-50	Sst	Sst Mrap2_2
LS-15014_S14_E1-50	Sst	Sst Myh8_2
LS-15014_S15_E1-50	Sst Chodl	Sst Chodl
LS-15014_S16_E1-50	Sst	Sst Mrap2_2
LS-15014_S17_E1-50	Sst	Sst Mrap2_2
LS-15014_S18_E1-50	Sst	Sst Mrap2_1
LS-15014_S19_E1-50	Sst	Sst Myh8_2
LS-15014_S20_E1-50	Sst	Sst Syndig1l_1
LS-15014_S21_E1-50	Sst	Sst Syndig1l_2
LS-15014_S22_E1-50	Sst	Sst Myh8_3
LS-15014_S23_E1-50	Sst	Sst Syndig1l_2
LS-15014_S24_E1-50	Sst	Sst Myh8_3
LS-15014_S25_E1-50	Vip	Vip Krt12
LS-15014_S26_E1-50	Vip	Vip Chat_4
LS-15014_S27_E1-50	Vip	Vip Mybpc1_1
